"filename", "language", "CMake", "C++", "Dart", "Markdown", "YAML", "Ruby", "JSON", "Groovy", "Properties", "XML", "HTML", "Swift", "comment", "blank", "total"
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/flutter/generated_plugins.cmake", "CMake", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/CMakeLists.txt", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/linux/runner/my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 4, 13
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 10, 44
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/pubspec.yaml", "YAML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 53, 14, 93
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/test/widget_test.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 31
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 15, 5, 39
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/CMakeLists.txt", "CMake", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/CMakeLists.txt", "CMake", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
